模型,相似度（%）,平均时间（s）
minicpm-v:8b,75.9,8.26
llava:7b,60.8,5.61
qwen3.5-35b-a3b,80.3,2.56
qwen-vl-plus,86.8,7.98 
kimi-k3,86.8,165.05 
qwen3-vl-flash,84.9,6.18 
glm-5v-turbo,84,41.70 
qwen3-vl-8b-thinking,79.8,26.63 
qwen3-vl-plus,82.3,5.89 
qwen3-vl-max,81.8,7.89 
qwen3-vl-235b-a22b-instruct,81.2,8.61 
gpt5.5,80.3,26.07 
qwen3-vl-8b-instruct,76.7,5.94 
qwen3-vl-32b-thinking,77.7,56.05 
kimi-2.6,72.8,8.27 
gpt-sol,89.3,29.88 
qwen3-vl-32b-instruct,72.8,8.23 
qwen3-30b-a3b-instruct-2507,65.6,5.99 
qwen3.6plus,67.9,244.17 
glm-4v-plus,66.1,14.17 
